so,req,database,type,total_time,server_response,db_response,cpu_usage
linux,10,mysql,write,0.133143902,0.131001949,0.027170181,0
linux,10,mysql,write,0.174861908,0.171684027,0.068094969,0
linux,10,mysql,write,0.195374012,0.193295002,0.0907619,2.5
linux,10,mysql,write,0.169028997,0.167583942,0.065413952,0
linux,10,mysql,write,0.16865015,0.167207003,0.065450907,0
linux,10,mysql,write,0.172056913,0.169724941,0.067451,0
linux,10,mysql,write,0.179389954,0.177598,0.07542181,0
linux,10,mysql,write,0.172147989,0.169986963,0.067895174,0
linux,10,mysql,write,0.197674036,0.194105864,0.08981204,0
linux,10,mysql,write,0.194431067,0.192728996,0.090365887,2.5
linux,10,mysql,write,0.170401096,0.168926001,0.067170858,0
linux,10,mysql,write,0.169549942,0.168055058,0.066312075,1.3
linux,10,mysql,write,0.143187046,0.141694069,0.039876938,0
linux,10,mysql,write,0.17306304,0.170665979,0.067426205,0
linux,10,postgres,read,0.108741045,0.105818033,0.005099058,1.2
linux,10,postgres,read,0.104366064,0.102752924,0.002283096,0
linux,10,postgres,read,0.108698845,0.105000019,0.004134893,1.2
linux,10,postgres,read,0.107425928,0.10481596,0.004139185,1.2
linux,10,postgres,read,0.108129978,0.104882956,0.004137039,1.3
linux,10,postgres,read,0.10759902,0.104828119,0.004137039,0
linux,10,postgres,read,0.103434086,0.101956844,0.001518965,1.2
linux,10,postgres,read,0.108947992,0.105866909,0.0051229,1.2
linux,10,postgres,read,0.108173132,0.104902983,0.004126787,1.3
linux,10,postgres,read,0.106637955,0.104274988,0.003654003,0
linux,10,postgres,read,0.108623981,0.104871988,0.004049063,0
linux,10,postgres,read,0.103440046,0.101960897,0.001533985,1.2
linux,10,postgres,read,0.106529951,0.104310989,0.003699064,2.5
linux,10,postgres,read,0.107059002,0.104349136,0.003664017,0
linux,10,postgres,read,0.105372906,0.103703022,0.003209114,1.3
linux,10,postgres,read,0.108099937,0.104856968,0.004120827,0
linux,10,postgres,read,0.106712818,0.104290009,0.003639936,0
linux,10,postgres,read,0.107910156,0.104876995,0.004145861,0
linux,10,postgres,read,0.107665062,0.104831934,0.004137039,0
linux,10,postgres,read,0.107661009,0.104848146,0.004141092,1.3
linux,10,postgres,read,0.107024908,0.104355097,0.003684044,0
linux,10,postgres,read,0.103777885,0.102339029,0.001923084,1.2
linux,10,postgres,read,0.108299017,0.104899883,0.004128933,0
linux,10,postgres,read,0.107780218,0.104835987,0.004122972,0
linux,10,postgres,read,0.104002953,0.102463007,0.002002001,1.2
linux,10,postgres,read,0.107356787,0.104417086,0.003694057,1.2
linux,10,postgres,read,0.103631973,0.101936817,0.001512051,2.5
linux,10,postgres,read,0.107716799,0.104831934,0.004126072,1.3
